id;  word;pos;translate
1134;   stare;v;menatap
1135;   safety;n;keamanan
1136;   effective;j;efektif
1137;   neighborhood;n;lingkungan
1138;   original;j;asli
1139;   act;n;bertindak
1140;   troop;n;pasukan
1141;   income;n;pendapatan
1142;   directly;r;langsung
1143;   hurt;v;menyakiti
1144;   species;n;jenis
1145;   immediately;r;segera
1146;   track;n;jalur
1147;   basic;j;dasar
1148;   strike;v;menyerang
1149;   hope;n;harapan
1150;   sky;n;langit
1151;   freedom;n;kebebasan
1152;   absolutely;r;benar
1153;   plane;n;pesawat
1154;   nobody;p;tak seorangpun
1155;   achieve;v;mencapai
1156;   object;n;obyek
1157;   attitude;n;sikap
1158;   labor;n;tenaga kerja
1159;   refer;v;mengacu
1160;   concept;n;konsep
1161;   client;n;klien
1162;   powerful;j;kuat
1163;   perfect;j;sempurna
1164;   nine;m;sembilan
1165;   therefore;r;karena itu
1166;   conduct;v;mengantarkan
1167;   announce;v;mengumumkan
1168;   conversation;n;percakapan
1169;   examine;v;memeriksa
1170;   touch;v;menyentuh
1171;   please;r;silahkan
1172;   attend;v;menghadiri
1173;   completely;r;sama sekali
1174;   vote;v;memilih
1175;   variety;n;variasi
1176;   sleep;v;tidur
1177;   turn;n;belokan
1178;   involved;j;terlibat
1179;   investigation;n;penyelidikan
1180;   nuclear;j;nuklir
1181;   researcher;n;peneliti
1182;   press;n;pers
1183;   conflict;n;konflik
1184;   spirit;n;semangat
1185;   experience;v;mengalami
1186;   replace;v;menggantikan
1187;   british;j;inggris
1188;   encourage;v;memberanikan
1189;   argument;n;argumen
1190;   by;r;oleh
1191;   once;c;sekali
1192;   camp;n;kamp
1193;   brain;n;otak
1194;   feature;n;fitur
1195;   afternoon;n;sore
1196;   AM;r;antara jam 24.00 sd 12.00
1197;   weekend;n;akhir pekan
1198;   dozen;m;lusin
1199;   possibility;n;kemungkinan
1200;   along;r;sepanjang
1201;   insurance;n;asuransi
1202;   department;n;departemen
1203;   battle;n;pertarungan
1204;   beginning;n;awal
1205;   date;n;tanggal
1206;   generally;r;umumnya
1207;   african;j;afrika
1208;   very;j;sangat
1209;   sorry;j;sesal
1210;   crisis;n;krisis
1211;   complete;v;melengkapi
1212;   fan;n;penggemar
1213;   stick;v;melekat
1214;   define;v;mengartikan
1215;   easily;r;mudah
1216;   through;r;melalui
1217;   hole;n;lubang
1218;   element;n;elemen
1219;   vision;n;penglihatan
1220;   status;n;status
1221;   normal;j;normal
1222;   chinese;j;cina
1223;   ship;n;kapal
1224;   solution;n;penyelesaian
1225;   stone;n;batu
1226;   slowly;r;perlahan
1227;   scale;n;skala
1228;   bit;r;sedikit
1229;   university;n;Universitas
1230;   introduce;v;memperkenalkan
1231;   driver;n;sopir
1232;   attempt;n;percobaan
1233;   park;n;taman
1234;   spot;n;titik
1235;   lack;n;kekurangan
1236;   ice;n;es
1237;   boat;n;perahu
1238;   drink;v;minum
1239;   sun;n;matahari
1240;   front;j;depan
1241;   distance;n;jarak
1242;   wood;n;kayu
1243;   handle;v;menangani
1244;   truck;n;truk
1245;   return;n;pengembalian
1246;   mountain;n;gunung
1247;   survey;n;survei
1248;   supposed;j;seharusnya
1249;   tradition;n;tradisi
1250;   winter;n;musim dingin
1251;   village;n;desa
1252;   soviet;j;soviet
1253;   refuse;v;menolak
1254;   sales;n;penjualan
1255;   roll;v;menggulung
1256;   communication;n;komunikasi
1257;   run;n;giliran bermain
1258;   screen;n;layar
1259;   gain;v;mendapatkan
1260;   resident;n;penghuni
1261;   hide;v;menyembunyikan
1262;   gold;n;emas
1263;   club;n;klub
1264;   future;j;masa depan
1265;   farm;n;tanah pertanian
1266;   potential;j;potensi
1267;   increase;n;peningkatan
1268;   middle;n;tengah
1269;   suropean;j;eropa
1270;   presence;n;kehadiran
1271;   independent;j;independen
1272;   district;n;distrik
1273;   shape;n;bentuk
1274;   reader;n;pembaca
1275;   Ms;n;Nona
1276;   contract;n;kontrak
1277;   crowd;n;kerumunan
1278;   christian;j;kristen
1279;   express;v;mengekspresikan
1280;   apartment;n;apartemen
1281;   willing;j;rela
1282;   strength;n;kekuatan
1283;   previous;j;sebelumnya
1284;   band;n;pita
1285;   obviously;r;jelas
1286;   horse;n;kuda
1287;   interested;j;tertarik
1288;   target;n;target
1289;   prison;n;penjara
1290;   ride;v;mengendarai
1291;   guard;n;penjaga
1292;   terms;i;istilah
1293;   demand;n;permintaan
1294;   reporter;n;wartawan
1295;   deliver;v;kirim
1296;   text;n;teks
1297;   share;n;bagian
1298;   tool;n;alat
1299;   wild;j;liar
1300;   vehicle;n;kendaraan
1301;   observe;v;mengamati
1302;   flight;n;penerbangan
1303;   inside;r;ke dalam
1304;   facility;n;fasilitas
1305;   understanding;n;pengertian
1306;   average;j;rata-rata
1307;   emerge;v;muncul
1308;   advantage;n;keuntungan
1309;   quick;j;cepat
1310;   light;j;cahaya
1311;   leadership;n;kepemimpinan
1312;   earn;v;mendapatkan
1313;   pound;n;pound
1314;   basis;n;dasar
1315;   bright;j;terang
1316;   operate;v;menjalankan
1317;   guest;n;tamu
1318;   sample;n;contoh
1319;   contribute;v;menyumbang
1320;   tiny;j;mungil
1321;   block;n;blok
1322;   protection;n;perlindungan
1323;   settle;v;menetapkan
1324;   feed;v;memberi makan
1325;   collect;v;mengumpulkan
1326;   additional;j;tambahan
1327;   while;n;saat
1328;   highly;r;sangat
1329;   identity;n;identitas
1330;   title;n;judul
1331;   mostly;r;kebanyakan
1332;   lesson;n;pelajaran
1333;   faith;n;iman
1334;   river;n;sungai
1335;   promote;v;menggalakkan
1336;   living;n;hidup
1337;   present;j;saat ini
1338;   count;v;menghitung
1339;   unless;c;kecuali kalau
1340;   marry;v;menikah
1341;   tomorrow;r;besok
1342;   technique;n;teknik
1343;   path;n;jalan
1344;   ear;n;telinga
1345;   shop;n;toko
1346;   folk;n;rakyat
1347;   order;v;memesan
1348;   principle;n;prinsip
1349;   survive;v;bertahan
1350;   lift;v;mengangkat
1351;   border;n;berbatasan
1352;   competition;n;kompetisi
1353;   jump;v;melompat
1354;   gather;v;mengumpulkan
1355;   limit;v;membatasi
1356;   fit;v;mencocokkan
1357;   claim;n;klaim
1358;   cry;v;menangis
1359;   equipment;n;peralatan
1360;   worth;i;bernilai
1361;   associate;v;menghubungkan
1362;   critic;n;kritik
1363;   warm;j;hangat
1364;   aspect;n;aspek
1365;   result;v;menghasilkan
1366;   insist;v;bersikeras
1367;   failure;n;kegagalan
1368;   annual;j;tahunan
1369;   french;j;perancis
1370;   Christmas;n;hari natal
1371;   comment;n;komentar
1372;   responsible;j;tanggung jawab
1373;   affair;n;perselingkuhan
1374;   approach;v;mendekati
1375;   until;i;sampai
1376;   procedure;n;prosedur
1377;   regular;j;biasa
1378;   spread;v;menyebarkan
1379;   chairman;n;ketua
1380;   baseball;n;baseball
1381;   soft;j;lembut
1382;   ignore;v;mengabaikan
1383;   egg;n;telur
1384;   measure;v;mengukur
1385;   belief;n;kepercayaan
1386;   demonstrate;v;mendemonstrasikan
1387;   anybody;p;siapa saja
1388;   murder;n;pembunuhan
1389;   gift;n;hadiah
1390;   religion;n;agama
1391;   review;n;ulasan
1392;   editor;n;editor
1393;   past;i;lalu
1394;   engage;v;mengikutsertakan
1395;   coffee;n;kopi
1396;   document;n;dokumen
1397;   speed;n;kecepatan
1398;   cross;v;menyeberang
1399;   influence;n;pengaruh
1400;   anyway;r;bagaimanapun
1401;   threaten;v;mengancam
1402;   commit;v;melakukan
1403;   female;j;betina
1404;   youth;n;pemuda
1405;   wave;n;gelombang
1406;   move;n;pindah
1407;   afraid;j;takut
1408;   quarter;n;perempat
1409;   background;n;latar belakang
1410;   native;j;asli
1411;   broad;j;luas
1412;   wonderful;j;hebat
1413;   deny;v;menyangkal
1414;   apparently;r;tampaknya
1415;   slightly;r;sedikit
1416;   reaction;n;reaksi
1417;   twice;r;dua kali
1418;   suit;n;setelan
1419;   perspective;n;perspektif
1420;   growing;j;yang sedang bertumbuh
1421;   blow;v;meniup
1422;   construction;n;konstruksi
1423;   kind;r;jenis
1424;   intelligence;n;kecerdasan
1425;   destroy;v;menghancurkan
1426;   cook;v;memasak
1427;   connection;n;hubungan
1428;   charge;v;mengisi
1429;   burn;v;membakar
1430;   shoe;n;sepatu
1431;   view;v;melihat
1432;   grade;n;kelas
1433;   context;n;konteks
1434;   committee;n;komite
1435;   hey;u;hei
1436;   mistake;n;kesalahan
1437;   focus;n;fokus
1438;   smile;n;senyum
1439;   location;n;lokasi
1440;   clothes;n;pakaian
1441;   Indian;j;Indian
1442;   quiet;j;sepi
1443;   dress;v;berpakaian
1444;   promise;v;berjanji
1445;   aware;j;sadar
1446;   neighbor;n;tetangga
1447;   complete;j;lengkap
1448;   drive;n;penggerak
1449;   function;n;fungsi
1450;   bone;n;tulang
1451;   active;j;aktif
1452;   extend;v;memperpanjang
1453;   chief;j;kepala
1454;   average;n;rata-rata
1455;   combine;v;menggabungkan
1456;   wine;n;minuman anggur
1457;   below;r;di bawah
1458;   cool;j;keren
1459;   voter;n;pemilih
1460;   mean;n;arti
1461;   demand;v;meminta
1462;   learning;n;pengetahuan
1463;   bus;n;bis
1464;   hell;n;neraka
1465;   dangerous;j;berbahaya
1466;   remind;v;mengingatkan
1467;   moral;j;moral
1468;   united;j;serikat
1469;   category;n;kategori
1470;   relatively;r;relatif
1471;   victory;n;kemenangan
1472;   key;n;kunci
1473;   academic;j;akademik
1474;   visit;n;kunjungan
1475;   Internet;n;Internet
1476;   healthy;j;sehat
1477;   fire;v;memecat
1478;   negative;j;negatif
1479;   following;j;berikut
1480;   historical;j;historis
1481;   medicine;n;obat
1482;   tour;n;wisata
1483;   depend;v;tergantung
1484;   photo;n;foto
1485;   finding;n;temuan
1486;   grab;v;mengambil
1487;   direct;j;langsung
1488;   classroom;n;kelas
1489;   contact;n;kontak
1490;   justice;n;keadilan
1491;   participate;v;ikut serta
1492;   daily;j;harian
1493;   fair;j;adil
1494;   pair;n;pasangan
1495;   famous;j;terkenal
1496;   exercise;n;olahraga
1497;   knee;n;lutut
1498;   flower;n;bunga
1499;   tape;n;plester
1500;   hire;v;mempekerjakan
1501;   familiar;j;akrab
1502;   appropriate;j;sesuai
1503;   supply;n;persediaan
1504;   fully;r;sepenuhnya
1505;   cut;n;potongsn
1506;   will;n;kehendak
1507;   actor;n;aktor
1508;   birth;n;kelahiran
1509;   search;n;pencarian
1510;   tie;v;mengikat
1511;   democracy;n;demokrasi
1512;   eastern;j;timur
1513;   primary;j;utama
1514;   yesterday;r;kemarin
1515;   circle;n;lingkaran
1516;   device;n;alat
1517;   progress;n;kemajuan
1518;   next;i;berikutnya
1519;   front;n;depan
1520;   bottom;n;dasar
1521;   island;n;pulau
1522;   exchange;n;pertukaran
1523;   clean;j;bersih
1524;   studio;n;studio
1525;   train;v;melatih
1526;   lady;n;wanita
1527;   colleague;n;rekan
1528;   application;n;aplikasi
1529;   neck;n;leher
1530;   lean;v;menyandarkan
1531;   damage;n;kerusakan
1532;   plastic;n;plastik
1533;   tall;j;tinggi
1534;   plate;n;piring
1535;   hate;v;benci
1536;   otherwise;r;jika tidak
1537;   writing;n;penulisan
1538;   press;v;menekan
1539;   male;j;pria
1540;   start;n;awal
1541;   alive;j;hidup
1542;   expression;n;ekspresi
1543;   football;n;sepak bola
1544;   intend;v;berniat
1545;   attack;v;menyerang
1546;   chicken;n;ayam
1547;   army;n;tentara
1548;   abuse;n;penyalahgunaan
1549;   theater;n;teater
1550;   shut;v;menutup
1551;   map;n;peta
1552;   extra;j;tambahan
1553;   session;n;sidang
1554;   danger;n;bahaya
1555;   welcome;v;mempersilahkan
1556;   domestic;j;lokal
1557;   lots;p;banyak
1558;   literature;n;literatur
1559;   rain;n;hujan
1560;   desire;n;keinginan
1561;   assessment;n;penilaian
1562;   injury;n;cedera
1563;   respect;n;rasa hormat
1564;   northern;j;sebelah utara
1565;   nod;v;mengangguk
1566;   paint;v;melukis
1567;   fuel;n;bahan bakar
1568;   leaf;n;daun
1569;   direct;v;mengarahkan
1570;   dry;j;kering
1571;   russian;j;rusia
1572;   instruction;n;petunjuk
1573;   fight;n;pertarungan
1574;   pool;n;kolam
1575;   climb;v;mendaki
1576;   sweet;j;manis
1577;   lead;n;timah
1578;   engine;n;mesin
1579;   fourth;m;keempat
1580;   salt;n;garam
1581;   expand;v;memperluas
1582;   importance;n;kepentingan
1583;   metal;n;logam
1584;   fat;n;lemak
1585;   ticket;n;tiket
1586;   software;n;perangkat lunak
1587;   disappear;v;menghilang
1588;   corporate;j;bersama
1589;   strange;j;aneh
1590;   lip;n;bibir
1591;   reading;n;bacaan
1592;   urban;j;perkotaan
1593;   mental;j;mental
1594;   increasingly;r;makin
1595;   lunch;n;makan siang
1596;   educational;j;berkaitan dgn pendidikan
1597;   somewhere;r;di suatu tempat
1598;   farmer;n;petani
1599;   above;r;atas
1600;   sugar;n;gula
1601;   planet;n;planet
1602;   favorite;j;yang paling disukai
1603;   explore;v;menjelajah
1604;   obtain;v;memperoleh
1605;   enemy;n;musuh
1606;   greatest;j;terbesar
1607;   complex;j;kompleks
1608;   surround;v;mengelilingi
1609;   athlete;n;atlet
1610;   invite;v;mengundang
1611;   repeat;v;mengulangi
1612;   carefully;r;hati-hati
1613;   soul;n;jiwa
1614;   scientific;j;ilmiah
1615;   impossible;j;mustahil
1616;   panel;n;panel
1617;   meaning;n;arti
1618;   mom;n;ibu
1619;   married;j;menikah
1620;   alone;j;sendirian
1621;   instrument;n;instrumen
1622;   predict;v;meramalkan
1623;   weather;n;cuaca
1624;   presidential;j;presiden
1625;   emotional;j;emosional
1626;   commitment;n;komitmen
1627;   supreme;j;tertinggi
1628;   bear;v;menanggung
1629;   pocket;n;saku
1630;   thin;j;tipis
1631;   temperature;n;suhu
1632;   surprise;n;kejutan
1633;   poll;n;pemilihan
1634;   proposal;n;usul
1635;   consequence;n;konsekuensi
1636;   half;n;setengah
1637;   breath;n;nafas
1638;   sight;n;melihat
1639;   cover;n;penutup
1640;   balance;n;keseimbangan
1641;   adopt;v;mengangkat
1642;   minority;n;minoritas
1643;   straight;r;lurus
1644;   attempt;v;mencoba
1645;   connect;v;menghubungkan
1646;   works;n;mesin-mesin
1647;   teaching;n;pengajaran
1648;   belong;v;termasuk
1649;   aid;n;bantuan
1650;   advice;n;nasihat
1651;   okay;r;baik
1652;   photograph;n;foto
1653;   empty;j;kosong
1654;   regional;j;regional
1655;   trail;n;jejak
1656;   novel;n;novel
1657;   code;n;kode
1658;   somehow;r;entah bagaimana
1659;   organize;v;mengatur
1660;   jury;n;juri
1661;   breast;n;payudara
1662;   iraqi;j;irak
1663;   human;n;manusia
1664;   acknowledge;v;mengakui
1665;   theme;n;tema
1666;   storm;n;badai
1667;   union;n;persatuan
1668;   record;v;merekam
1669;   desk;n;meja tulis
1670;   fear;v;takut
1671;   thanks;n;terima kasih
1672;   fruit;n;buah
1673;   under;r;di bawah
1674;   expensive;j;mahal
1675;   yellow;j;kuning
1676;   conclusion;n;kesimpulan
1677;   prime;j;utama
1678;   shadow;n;bayangan
1679;   struggle;v;berjuang
1680;   conclude;v;menyimpulkan
1681;   analyst;n;analis
1682;   dance;n;menari
1683;   limit;n;membatasi
1684;   like;j;seperti
1685;   regulation;n;peraturan
1686;   being;n;makhluk
1687;   last;v;bertahan
1688;   ring;n;cincin
1689;   largely;r;sebagian besar
1690;   shift;v;beralih
1691;   revenue;n;pendapatan
1692;   mark;v;menandai
1693;   locate;v;menempatkan
1694;   county;n;daerah
1695;   appearance;n;penampilan
1696;   package;n;paket
1697;   difficulty;n;kesulitan
1698;   bridge;n;jembatan
1699;   recommend;v;menyarankan
1700;   obvious;j;jelas
1701;   train;n;kerata api
1702;   basically;r;pada dasarnya
1703;   e-mail;n;e-mail
1704;   generate;v;menghasilkan
1705;   anymore;r;lagi
1706;   propose;v;mengusulkan
1707;   thinking;n;pemikiran
1708;   possibly;r;mungkin
1709;   trend;n;kecenderungan
1710;   visitor;n;pengunjung
1711;   loan;n;pinjaman
1712;   currently;r;saat ini
1713;   comfortable;j;nyaman
1714;   investor;n;investor
1715;   but;i;tapi
1716;   profit;n;keuntungan
1717;   angry;j;marah
1718;   crew;n;awak kapal
1719;   deep;r;dalam
1720;   accident;n;kecelakaan
1721;   male;n;pria
1722;   meal;n;makanan
1723;   hearing;n;pendengaran
1724;   traffic;n;lalu lintas
1725;   muscle;n;otot
1726;   notion;n;gagasan
1727;   capture;v;menangkap
1728;   prefer;v;lebih suka
1729;   truly;r;sungguh
1730;   earth;n;bumi
1731;   japanese;j;jepang
1732;   chest;n;dada
1733;   search;v;mencari
1734;   thick;j;tebal
1735;   cash;n;kas
1736;   museum;n;museum
1737;   beauty;n;keindahan
1738;   emergency;n;keadaan darurat
1739;   unique;j;unik
1740;   feature;v;menonjolkan
1741;   internal;j;intern
1742;   ethnic;j;etnis
1743;   link;v;menghubungkan
1744;   stress;n;ketegangan
1745;   content;n;konten
1746;   select;v;memilih
1747;   root;n;akar
1748;   nose;n;hidung
1749;   declare;v;menyatakan
1750;   outside;r;di luar
1751;   appreciate;v;menghargai
1752;   actual;j;sebenarnya
1753;   bottle;n;botol
1754;   hardly;r;hampir tidak
1755;   setting;n;pengaturan
1756;   launch;v;meluncurkan
1757;   dress;n;gaun
1758;   file;n;berkas
1759;   sick;j;sakit
1760;   outcome;n;hasil
1761;   ad;n;iklan
1762;   defend;v;membela
1763;   matter;v;berarti
1764;   judge;v;menghakimi
1765;   duty;n;kewajiban
1766;   sheet;n;lembar
1767;   ought;v;seharusnya
1768;   ensure;v;memastikan
1769;   catholic;j;katolik
1770;   extremely;r;sangat
1771;   extent;n;tingkat
1772;   component;n;komponen
1773;   mix;v;mencampur
1774;   long-term;j;jangka panjang
1775;   slow;j;lambat
1776;   contrast;n;kontras
1777;   zone;n;daerah
1778;   wake;v;bangun
1779;   challenge;v;menantang
1780;   airport;n;bandara
1781;   chief;n;kepala
1782;   brown;j;coklat
1783;   standard;j;standar
1784;   shirt;n;kemeja
1785;   pilot;n;pilot
1786;   warn;v;memperingatkan
1787;   ultimately;r;akhirnya
1788;   cat;n;kucing
1789;   contribution;n;kontribusi
1790;   capacity;n;kapasitas
1791;   ourselves;p;diri kita sendiri
1792;   estate;n;perkebunan
1793;   guide;n;panduan
1794;   circumstance;n;keadaan
1795;   snow;n;salju
1796;   english;j;inggris
1797;   politician;n;politikus
1798;   steal;v;mencuri
1799;   pursue;v;mengejar
1800;   slip;v;tergelincir
1801;   percentage;n;persentase
1802;   meat;n;daging
1803;   funny;j;lucu
1804;   neither;r;tidak
1805;   soil;n;tanah
1806;   influence;v;mempengaruhi
1807;   surgery;n;operasi
1808;   correct;j;benar
1809;   jewish;j;yahudi
1810;   blame;v;menyalahkan
1811;   estimate;v;memperkirakan
1812;   due;i;wajar
1813;   basketball;n;bola basket
1814;   late;r;terlambat
1815;   golf;n;golf
1816;   investigate;v;menyelidiki
1817;   crazy;j;gila
1818;   significantly;r;secara signifikan
1819;   chain;n;rantai
1820;   address;n;alamat
1821;   branch;n;cabang
1822;   combination;n;kombinasi
1823;   just;j;hanya
1824;   frequently;r;sering
1825;   governor;n;gubernur
1826;   relief;n;bantuan
1827;   user;n;pengguna
1828;   dad;n;ayah
1829;   kick;v;menendang
1830;   part;r;bagian
1831;   manner;n;cara
1832;   ancient;j;kuno
1833;   silence;n;keheningan
1834;   rating;n;rating
1835;   golden;j;keemasan
1836;   motion;n;gerakan
1837;   german;j;jerman
1838;   gender;n;jenis kelamin
1839;   solve;v;memecahkan
1840;   fee;n;biaya
1841;   landscape;n;pemandangan
1842;   used;j;bekas
1843;   bowl;n;mangkuk
1844;   equal;j;sama
1845;   long;c;lama
1846;   official;j;resmi
1847;   forth;r;sebagainya
1848;   frame;n;bingkai
1849;   typical;j;khas
1850;   except;i;kecuali
1851;   conservative;j;konservatif
1852;   eliminate;v;menghapuskan
1853;   host;n;tuan rumah
1854;   hall;n;aula
1855;   trust;v;mempercayai
1856;   ocean;n;lautan
1857;   score;v;membuat angka
1858;   row;n;baris
1859;   producer;n;produsen
1860;   afford;v;mampu
1861;   meanwhile;r;sementara itu
1862;   regime;n;rezim
1863;   division;n;divisi
1864;   confirm;v;memastikan
1865;   fix;v;memperbaiki
1866;   appeal;n;menarik
1867;   mirror;n;cermin
1868;   tooth;n;gigi
1869;   smart;j;pintar
1870;   length;n;panjangnya
1871;   entirely;r;sepenuhnya
1872;   rely;v;mengandalkan
1873;   topic;n;topik
1874;   complain;v;mengeluh
1875;   issue;v;menerbitkan
1876;   variable;n;variabel
1877;   back;v;kembali
1878;   range;v;berbaris
1879;   telephone;n;telepon
1880;   perception;n;persepsi
1881;   attract;v;menarik
1882;   confidence;n;kepercayaan
1883;   bedroom;n;kamar tidur
1884;   secret;n;rahasia
1885;   debt;n;hutang
1886;   rare;j;langka
1887;   his;p;-nya (laki-laki)
1888;   tank;n;tangki
1889;   nurse;n;perawat
1890;   coverage;n;cakupan
1891;   opposition;n;berlawanan
1892;   aside;r;ke samping
1893;   anywhere;r;di mana saja
1894;   bond;n;obligasi
1895;   file;v;mengajukan
1896;   pleasure;n;kesenangan
1897;   master;n;tuan
1898;   era;n;era
1899;   requirement;n;kebutuhan
1900;   check;n;pemeriksaan
1901;   stand;n;berdiri
1902;   fun;n;kesenangan
1903;   expectation;n;harapan
1904;   wing;n;sayap
1905;   separate;j;terpisah
1906;   now;c;sekarang
1907;   clear;v;membersihkan
1908;   struggle;n;perjuangan
1909;   mean;j;berarti
1910;   somewhat;r;agak
1911;   pour;v;menuangkan
1912;   stir;v;menggerakkan
1913;   judgment;n;pertimbangan
1914;   clean;v;membersihkan
1915;   except;c;kecuali
1916;   beer;n;bir
1917;   English;n;bahasa inggris
1918;   reference;n;acuan
1919;   tear;n;air mata
1920;   doubt;n;keraguan
1921;   grant;v;mengaruniakan
1922;   seriously;r;serius
1923;   account;v;membukukan
1924;   minister;n;menteri
1925;   totally;r;sama sekali
1926;   hero;n;pahlawan
1927;   industrial;j;industri
1928;   cloud;n;awan
1929;   stretch;v;meregang
1930;   winner;n;pemenang
1931;   volume;n;volume
1932;   travel;n;perjalanan
1933;   seed;n;benih
1934;   surprised;j;terkejut
1935;   rest;v;beristirahat
1936;   fashion;n;mode
1937;   pepper;n;lada
1938;   separate;v;terpisah
1939;   busy;j;sibuk
1940;   intervention;n;campur tangan
1941;   copy;n;salinan
1942;   tip;n;tip
1943;   below;i;di bawah
1944;   cheap;j;murah
1945;   aim;v;mengarahkan
1946;   cite;v;mengutip
1947;   welfare;n;kesejahteraan
1948;   vegetable;n;sayur-mayur
1949;   gray;j;abu-abu
1950;   dish;n;hidangan
1951;   beach;n;pantai
1952;   improvement;n;perbaikan
1953;   everywhere;r;dimana mana
1954;   opening;n;pembukaan
1955;   overall;j;secara keseluruhan
1956;   divide;v;membagi
1957;   initial;j;awal
1958;   terrible;j;buruk
1959;   oppose;v;menentang
1960;   contemporary;j;kontemporer
1961;   route;n;rute
1962;   multiple;j;banyak bagian
1963;   essential;j;penting
1964;   question;v;mempersoalkan
1965;   league;n;liga
1966;   criminal;j;pidana
1967;   careful;j;cermat
1968;   core;n;inti
1969;   upper;j;atas
1970;   rush;v;buru-buru
1971;   necessarily;r;perlu
1972;   specifically;r;secara khusus
1973;   tired;j;lelah
1974;   rise;n;kenaikan
1975;   tie;n;dasi
1976;   employ;v;mempekerjakan
1977;   holiday;n;liburan
1978;   dance;v;menari
1979;   vast;j;luas
1980;   resolution;n;resolusi
1981;   household;n;rumah tangga
1982;   fewer;d;lebih sedikit
1983;   abortion;n;pengguguran
1984;   apart;r;telepas
1985;   witness;n;saksi
1986;   match;v;mencocokkan
1987;   barely;r;hampir
1988;   sector;n;sektor
1989;   representative;n;wakil
1990;   lack;v;kekurangan
1991;   beneath;i;di bawah
1992;   beside;i;di samping
1993;   black;n;kehitaman
1994;   incident;n;peristiwa
1995;   limited;j;terbatas
1996;   proud;j;bangga
1997;   flow;n;aliran
1998;   faculty;n;fakultas
1999;   increased;j;meningkat
2000;   waste;n;limbah
2001;   merely;r;hanya
2002;   mass;n;massa
2003;   emphasize;v;menekankan
2004;   experiment;n;percobaan
2005;   definitely;r;pastinya
2006;   bomb;n;bom
2007;   enormous;j;besar sekali
2008;   tone;n;nada
2009;   liberal;j;liberal
2010;   massive;j;besar
2011;   engineer;n;insinyur
2012;   wheel;n;roda
2013;   female;n;wanita
2014;   decline;v;menurun
2015;   invest;v;menanamkan
2016;   promise;n;janji
2017;   cable;n;kabel
2018;   towards;i;menuju
2019;   expose;v;menampakkan
2020;   rural;j;pedesaan
2021;   AIDS;n;AIDS
2022;   jew;n;yahudi
2023;   narrow;j;sempit
2024;   cream;n;krim
2025;   secretary;n;sekretaris
2026;   gate;n;gerbang
2027;   solid;j;padat
2028;   hill;n;bukit
2029;   typically;r;khas
2030;   noise;n;kebisingan
2031;   grass;n;rumput
2032;   unfortunately;r;sayangnya
2033;   hat;n;topi
2034;   legislation;n;undang-undang
2035;   succeed;v;berhasil
2036;   either;d;tiap
2037;   celebrate;v;merayakan
2038;   achievement;n;pencapaian
2039;   fishing;n;penangkapan ikan
2040;   drink;n;minuman
2041;   accuse;v;menuduh
2042;   hand;v;mengulurkan
2043;   useful;j;berguna
2044;   land;v;mendarat
2045;   secret;j;rahasia
2046;   reject;v;menolak
2047;   talent;n;bakat
2048;   taste;n;rasa
2049;   characteristic;n;ciri
2050;   milk;n;susu
2051;   escape;v;melarikan diri
2052;   cast;v;melemparkan
2053;   sentence;n;kalimat
2054;   unusual;j;yang tidak biasa
2055;   closely;r;dengan rapat
2056;   convince;v;meyakinkan
2057;   height;n;ketinggian
2058;   physician;n;dokter
2059;   assess;v;menilai
2060;   sleep;n;tidur
2061;   plenty;p;banyak
2062;   ride;n;perjalanan dengan mobil
2063;   virtually;r;sebenarnya
2064;   first;r;pertama
2065;   addition;i;tambahan
2066;   sharp;j;tajam
2067;   creative;j;kreatif
2068;   lower;v;merendahkan
2069;   behind;r;di belakang
2070;   approve;v;menyetujui
2071;   explanation;n;penjelasan
2072;   outside;j;di luar
2073;   gay;j;gay
2074;   campus;n;kampus
2075;   proper;j;layak
2076;   live;j;hidup
2077;   guilty;j;bersalah
2078;   living;j;hidup
2079;   acquire;v;memperoleh
2080;   compete;v;bersaing
2081;   technical;j;teknis
2082;   plus;i;plus
2083;   mind;v;menghiraukan
2084;   potential;n;potensi
2085;   immigrant;n;imigran
2086;   weak;j;lemah
2087;   illegal;j;liar (pelanggaran)
2088;   hi;u;hai
2089;   alternative;n;alternatif
2090;   interaction;n;interaksi
2091;   column;n;kolom
2092;   personality;n;kepribadian
2093;   signal;n;sinyal
2094;   curriculum;n;kurikulum
2095;   list;v;mendaftarkan
2096;   honor;n;kehormatan
2097;   passenger;n;penumpang
2098;   assistance;n;bantuan
2099;   forever;r;selamanya
2100;   fun;j;menyenangkan
2101;   regard;v;mengindahkan
2102;   israeli;j;israel
2103;   association;n;asosiasi
2104;   twenty;m;dua puluh
2105;   knock;v;mengetuk
2106;   review;v;meninjau kembali
2107;   wrap;v;membungkus
2108;   lab;n;laboratorium
2109;   offer;n;tawaran
2110;   display;v;mempertunjukkan
2111;   criticism;n;kritik
2112;   asset;n;aset
2113;   depression;n;depresi
2114;   spiritual;j;rohani
2115;   musical;j;musikal
2116;   journalist;n;wartawan
2117;   prayer;n;doa
2118;   suspect;v;mencurigai
2119;   scholar;n;sarjana
2120;   warning;n;peringatan
2121;   climate;n;iklim
2122;   cheese;n;keju
2123;   observation;n;pengamatan
2124;   childhood;n;masa kecil
2125;   payment;n;pembayaran
2126;   sir;n;tuan
2127;   permit;v;mengizinkan
2128;   cigarette;n;rokok
